Sum of Budget($),country,Year,Quarter,Month,Day,Genre,orig_lang,Sum of Revenue($),Sum of score,Title
175000000,AU,2017,Qtr 2,May,18,"Action, Drama, Fantasy", English,139630336,65,King Arthur: Legend of the Sword
40000000,AU,2017,Qtr 2,May,18,"Action, Thriller, Crime", English,171539887,73,John Wick: Chapter 2
178000000,AU,2017,Qtr 2,May,19,"Action, Drama, Science Fiction, Animation", Japanese,462715463,64,BLAME!
230000000,AU,2017,Qtr 2,May,25,"Adventure, Action, Fantasy", English,794861794,66,Pirates of the Caribbean: Dead Men Tell No Tales
25000000,AU,2017,Qtr 2,May,31,comedy, English,40286416,61,Fist Fight
25000000,AU,2017,Qtr 2,May,31,horror, English,82917283,50,Rings
150000000,AU,2017,Qtr 2,June,1,"Action, Adventure, Fantasy", English,817691766,72,Wonder Woman
60000000,AU,2017,Qtr 2,June,1,"Comedy, Action, Crime", English,175863783,61,Baywatch
72440000,AU,2017,Qtr 2,June,7,comedy, English,220176894,58,The Little Hours
9806709.8,AU,2017,Qtr 2,June,8,"Drama, Romance", English,9200168,57,My Cousin Rachel
275000000,AU,2017,Qtr 2,June,8,"Fantasy, Thriller, Action, Adventure, Horror", English,826339393,110,The Mummy
3400000,AU,2017,Qtr 2,June,10,"Family, Drama", English,92382687,61,Rip Tide
5005600,AU,2017,Qtr 2,June,13,"Drama, Horror, Thriller, Science Fiction", English,172698182,65,The Girl with All the Gifts
75000000,AU,2017,Qtr 2,June,15,"Action, Animation, Comedy, Family, Adventure", English,1032809657,64,Despicable Me 3
20000000,AU,2017,Qtr 2,June,15,"Drama, Comedy", English,46844357,57,Rough Night
